m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
729,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Sudan,2021,3.527009467,%,I,false
729,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Sudan,2022,3.527009467,%,I,false
752,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Sweden,2019,35.23058138,%,E,false
752,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Sweden,2020,28.14009662,%,E,false
752,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Sweden,2021,33.80077369,%,E,false
752,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Sweden,2022,33.80077369,%,E,false
756,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Switzerland,2019,53.61682459,%,E,false
756,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Switzerland,2020,53.90974854,%,E,false
756,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Switzerland,2021,53.23858341,%,E,false
756,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Switzerland,2022,53.67036011,%,E,false
788,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Tunisia,2019,21.85823655,%,E,false
788,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Tunisia,2020,22.73234097,%,E,false
788,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Tunisia,2021,22.73234097,%,I,false
788,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Tunisia,2022,22.73234097,%,I,false
792,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Türkiye,2019,10.90261492,%,E,false
792,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Türkiye,2020,11.21528628,%,E,false
792,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Türkiye,2021,13.11886611,%,E,false
792,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Türkiye,2022,11.06467574,%,E,false
804,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Ukraine,2019,21.78352006,%,E,false
804,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Ukraine,2020,28.1589187,%,E,false
804,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Ukraine,2021,28.49821216,%,E,false
